Questions,Answers
А можно как то получить тестовый доступ в Мой налог?,@mishamx Михаил - организатор. Поможет с ответом (в рабочее время)
А что там за тест надо пройти при регистрации? На какую он тему?,Там нет теста отборочное задание - описать идею проекта который вы планируете реализовать
может быть такое что мы подаемся командой и кто-то пройдет а кто-то нет? @aleksandr_malyshev,Мы отбираем команду по-этому все члены команды получат приглашение
Вопрос по хакатону - каков минимальный возраст участника?,Ограничений нет 🥳
Кстати а можно несколько идей отослать?,Да можно
Админы подскажите пожалуйста в чате есть представители ФНС и Wallet One?,Да есть. Какой у вас вопрос?
А как получить доступ к API / описание или они будут только в дни хакатона? Интересует p2p  и защищенная сделка,Будем выдавать ключи доступа индивидуально по запросу ближе к хакатону то что есть на данный момент по описанию АПИ скинули выше
А будут ли какие-нибудь интересные апишки предоставлены участникам хакатона?,Так точноУже оформили в таком виде: • Для самозанятых • API системы платформы платежей X-Plat • API P2PБлиже к хаку постараемся упаковать в постман чтобы было удобнее
Тестовые данные для входа можно получить?,Выдадим ближе к хакатону
Спасибо. Есть ли возможность через апи делать переводы денег внутри Wallet One и вывод денег? Интересует ответ на вопрос в двух ,Для хакатона мы предоставляем следующие апи: выплаты через агентский протокол xs2 и функционал р2р переводов (сделка) через соответственно апи р2р.
Ребята а как добавить людей в команду после регистрации?,им нужно вписать то же имя команды что и у тебя
Всем привет хотел уточнить регистрация открыта до 14.04  23-59 по МСК так?,Так точно
А отбор идёт по каким критериям?,отбор идей субъективен; в качестве направления можно взять критерии оценки и посмотреть:1) насколько ваша команда может технически реализовать прототип и продукт2) насколько проработана идея3) насколько актуальна идея в обозримом будущем4) насколько оригинальна идея5) насколько хорошо вы описали вашу идею
@aleksandr_malyshev а кто будет аппрувить заявки отдельно участников?,самозанятые 🦹‍♀️
И ещё а если взять идею из списка какой шанс?,главное хорошо описать ее
Кстати такой нескромный вопрос а что по призам?,так на сайте все есть 🙂
как вы узнаете о том что команда провела работу над ошибками? Нужно повторно прислать презентацию?,Любым удобным вам способом
Мы прошли. Вопрос: Можем ли мы пригласить к себе участников непрошедших команд?,Можете; не гарантируем что мерча/промокодов хватит на новых членов команды;Если делаете замену члена команды то все ок
Вопрос такой. 1. Почему есть в полях оценок пустые поля? Серьезнооценка эксперта - не обязательна?,Если ментор оценил >20 команд то это его личная инициатива
Добрый день в какой форме нужно подтвердить участие сегодня?,на https://smzhack.ru/ в своем аккаунте
Второй волны отбора команд не будет?,Все команды из топ 20 подтвердили участие
Когда будет расписание ?,на сайте smzhack
Предположим у нас есть самозанятый.  Что ему нужно чтобы с его акком взаимодействовать через API?,Чтобы самозанятый мог использовать ваши приложения и сервисы ему нужно будет только указать в них свой ИНН и подтвердить это в ЛК НПД
пивотиться — становиться самозанятым и обратно?,Менять идею проекта
у меня вопрос: как нам проводить тесты на обычных людях? будут ли даны какие-то тестовые учетки для регистрации человека как сам,Должны дать тестовые
Есть линк на постман?,Soap ui юзай удобнее для работы с апи ФНС
Записи где будут?,https://www.youtube.com/channel/UCFkGB60QMjBepeO7grDcdUw/featured
Нам же не нужно бронировать менторов на нулевой чекпоинт?,только если вам есть что обсудить с ним
А данные будут проверяться на реальность? =),эта проверка включена в тестовом контуре
то есть когда поднимется фнс можно будет получить тестовые данные без отправки персональных?),нет)
в какой степени( функции) нужно использовать API ФНС для выполнения требований и является ли это обязательным?,Коллеги тут вопрос легальности если вы на площадке организуете приём и перевод средств а он будет юредически не обоснован (не законен) то боюсь у вас будет меньше шансов на победу)
Актуальная ссылка на ютуб https://www.youtube.com/watch?v=oe_ZI7h-Ytk,а где-то доступны записи семинаров?
а где-то доступны записи семинаров?,https://www.youtube.com/channel/UCFkGB60QMjBepeO7grDcdUw
Подскажите пжл а мы можем проводить демо через дискорд? нам необходимо застримить 2 экрана с мобильных и презентацию. Команда Д,через Zoom точно можно транслировать экран мобильного но не знаю насчёт нескольких экранов одновременно. 3 пользователя с этим справятся
Вопрос: ничего страшного что мы всей командой пропустили инфу про вечерний чекин и собственно не зачекинились?),Все ок
SMZHack: Экватор общий конференц колл :calendar:Когда? Прямо сейчас • Описание: Организаторы SMZHack ответят на накопившиеся вопросы а,Если кто-то ещё может подключиться - присоединяйтесь! Екатерина рассказывает очень полезную информацию о монетизации налоговых сервисов! Крайне полезно
Барный формат Show and Tell  :calendar:Когда? Прямо сейчас  • Описание:  каждый из участников должен показать что-то без чего он не мож,https://www.youtube.com/watch?v=ObeUTSOyIQg
какой эндпоинт?,https://ktir.smz.w1.money/api/token/

Вопрос к ментору,-
